 Distance , Elevation , Count , D50 , D84 , Mean ,stdev,Cv
0,799,200,30,52,33,21,0.63
466.2,767,200,27,46,31,25,0.8
1010.9,725,101,25,51,33,27,0.84
1507.8,688,100,28,48,32,29,0.91
1980.1,658,199,25,40,28,20,0.71
2438.4,630,100,25,44,29,22,0.79
2880.1,599,100,22,38,24,17,0.7
3216.8,572,100,20,39,25,21,0.84
3489,550,200,18,35,22,17,0.78
3836.9,524,100,20,33,21,13,0.64
4071.7,505,100,16,32,18,12,0.69
4246.7,490,100,18,37,25,26,1.03
4611,466,100,17,33,20,15,0.73
4908.6,448,100,19,30,23,21,0.93
5290.2,425,100,18,37,23,16,0.69
5638.5,405,100,18,36,23,23,1
5950.9,383,100,14,34,19,16,0.86
6296.4,365,100,14,30,19,18,0.92
6639.4,347,100,15,31,19,16,0.83
