Distance,Elevation,Count,D50,D84,Mean,stdev,Cv
0,656,100,26,51.16,32.89,30.14104722,0.9164198
178.235,643,100,25,43,29.31,22.74527146,0.776024274
484.141,620,100,25,46.32,28.71,20.4269059,0.711490975
600.505,613,100,22,42,27.4,21.6020014,0.788394212
829.643,581,100,22.5,40,25.56,17.95298011,0.702385763
1064.446,570,100,23,46.16,28.53,23.05086821,0.807951918
1293.076,563,100,21,40.16,25.64,23.2572439,0.907068795
1653.952,525,100,20.5,40,22.98,15.76787426,0.686156408
1947.851,495,100,20.5,41,25.67,23.30260097,0.907775651
2317.357,460,100,19,35.16,24.25,19.77518852,0.815471691
2612.763,431,100,24.5,36.16,26.67,19.99851257,0.74985049
2886.315,412,100,18,31.64,22.25,14.40074002,0.647224271
3153.507,394,100,20,39.16,23.4,17.69837064,0.756340626
3349.456,380,100,20,32.32,24.07,19.2470672,0.799628883
3687.169,367,100,20.5,33.8,24.2,20.92555347,0.864692292
3989.03,346,100,20,40,23.85,18.79467741,0.788036789
4304.214,324,100,20,37.32,24.5,17.12019305,0.69878339
4589.986,307,100,17,34.16,22.34,17.69450066,0.79205464
4913.219,282,100,16,30,19.86,14.9071334,0.750610947
5100.338,272,100,16,31.16,19.85,16.24706656,0.818492018
5370.934,256,100,18,38,24.81,23.48207784,0.946476334
